name,affiliation,total_citations,h_index,url
Martin Farach-Colton,"Shustek Professor of Computer Science, New York University",13659,60,https://scholar.google.com/citations?user=2uHUSa8AAAAJ&hl=en&oi=ao
Boris Aronov,"Professor of Computer Science, Tandon School of Engineering, New York University",5238,39,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en
Juan P Bello,"Professor of Music Technology, Computer Science & Engineering, NYU",15499,58,https://scholar.google.com/citations?user=PMHXcoAAAAAJ&hl=en
Aaron Bernstein,"Professor of Computer Science, Rutgers University",1858,26,https://scholar.google.com/citations?user=N94spO0AAAAJ&hl=en
Emily Black,"Assistant Professor of Computer Science, Barnard College, Columbia University",450,10,https://scholar.google.com/citations?user=dBkGY6gAAAAJ&hl=en
Justin Cappos,"Professor of Computer Science and Engineering, NYU",2660,28,https://scholar.google.com/citations?user=COE6KUgAAAAJ&hl=en
Yi-Jen Chiang,"Computer Science & Engineering, New York University",2736,24,https://scholar.google.com/citations?user=ZcDNvvEAAAAJ&hl=en
Rumi Chunara,New York University,6062,30,https://scholar.google.com/citations?user=7NhhkR8AAAAJ&hl=en
Peter DePasquale,NYU,178,9,https://scholar.google.com/citations?user=ScyBbe8AAAAJ&hl=en
Ratan Dey,"Industry Associate Professor, NYU Tandon School of Engineering",717,10,https://scholar.google.com/citations?user=I0g7OHwAAAAJ&hl=en
Brendan Dolan-Gavitt,New York University,8380,29,https://scholar.google.com/citations?user=MzAxRscAAAAJ&hl=en
Juliana Freire,New York University,19981,68,https://scholar.google.com/citations?user=sSzAlq0AAAAJ&hl=en
Rachel Greenstadt,"Computer Science and Engineering Department, New York University",5337,34,https://scholar.google.com/citations?user=FsbND-sAAAAJ&hl=en
Chinmay Hegde,New York University,6091,34,https://scholar.google.com/citations?user=eJAV17IAAAAJ&hl=en
Lisa Hellerstein,"Professor of Computer Science, NYU Tandon School of Engineering",2709,30,https://scholar.google.com/citations?user=A45mhtsAAAAJ&hl=en
Robert Krueger,Assistant Professor at New York University,1672,19,https://scholar.google.com/citations?user=UHmEAooAAAAJ&hl=en&oi=sra
Damon McCoy,"Professor of Computer Science and Engineering, New York University",16583,53,https://scholar.google.com/citations?user=pT8-2f0AAAAJ&hl=en
Nasir Memon,"Professor of Comp Sc. and Eng, New York University, Tandon School of Engineering",30140,90,https://scholar.google.com/citations?user=Pz0YttAAAAAJ&amp%3Bhl=en&amp%3Boi=ao
Christopher Musco,"Assistant Professor, New York University",2954,21,https://scholar.google.com/citations?user=HXXSrNMAAAAJ&hl=en
Darryl Reeves,Industry Associate Professor,695,8,https://scholar.google.com/citations?user=HA_YoR0AAAAJ&hl=en
Gustavo Sandoval,Industry Professor New York University,364,3,https://scholar.google.com/citations?user=65_TUrIAAAAJ&hl=en
Claudio T. Silva,New York University,27579,76,https://scholar.google.com/citations?user=YIwiAAsAAAAJ&hl=en
John Sterling,Polytechnic Institute of NYU,1264,12,https://scholar.google.com/citations?user=cS9Fcf4AAAAJ&hl=en
Julia Stoyanovich,New York University,4396,35,https://scholar.google.com/citations?user=UhJRkaIAAAAJ
Torsten Suel,"Professor of Computer Science, NYU Tandon School of Engineering",10100,50,https://scholar.google.com/citations?user=eQUn8ugAAAAJ&hl=en
Qi Sun,New York University,1551,18,https://scholar.google.com/citations?hl=en&user=oN7gaqMAAAAJ
Julian Togelius,"Associate Professor of Computer Science and Engineering, New York University; co-founder, modl.ai",23693,78,https://scholar.google.com/citations?user=lr4I9BwAAAAJ&hl=en
Paul Torrens,New York University,7533,38,https://scholar.google.com/citations?user=5w-u8x8AAAAJ&hl=en
Erdem Varol,"Assistant Professor, NYU",2371,20,https://scholar.google.com/citations?user=7GlElV0AAAAJ&hl=en
Edward K Wong,NYU Tandon School of Engineering,2827,27,https://scholar.google.com/citations?user=f7laURkAAAAJ&hl=en
Jay Chen,Senior Researcher (ICSI),2450,25,https://scholar.google.com/citations?user=JWHaRbIAAAAJ&hl=en
Paweł Korus,Amazon,1070,15,https://scholar.google.com/citations?user=UDEEvd0AAAAJ&hl=fil
Niall L. Williams,"Ph.D. Student, University of Maryland, College Park",542,7,https://scholar.google.com/citations?user=KIUsT1cAAAAJ&hl=en
Dishita G Turakhia,Massachusetts Institute of Technology,99,7,https://scholar.google.com/citations?user=43okw2AAAAAJ&hl=en
Nairen Cao,"Ph.D., Georgetown University",90,5,https://scholar.google.com/citations?user=OiiBPDwAAAAJ&hl=en
Eugene Vinitsky,"Assistant Professor, NYU",3271,21,https://scholar.google.com/citations?user=6dr5fLEAAAAJ&hl=en&oi=ao
Brandon Reagen,"Assistant Professor, New York University",4580,26,https://scholar.google.com/citations?user=cO2uYoAAAAAJ&hl=en
Oded Nov,"Professor, New York University",11257,50,https://scholar.google.com/citations?user=G0rV_dcAAAAJ&hl=en&oi=ao
Daniel B. Neill,New York University,5018,37,https://scholar.google.com/citations?user=zSqlq00AAAAJ
Ramesh Karri  కర్రి రమేష్,"Professor of Electrical and Computer Engineering, New York University",20684,69,https://scholar.google.com/citations?user=o60TaTEAAAAJ&hl=en
Danny Yuxing Huang,Assistant Professor at New York University,1769,16,https://scholar.google.com/citations?user=B-Zb3joAAAAJ&hl=en
Siddharth Garg,New York University,9420,40,https://scholar.google.com/citations?user=Yf8OqQQAAAAJ&hl=en&oi=ao
Chen Feng (冯晨),New York University,7319,37,https://scholar.google.com/citations?user=YeG8ZM0AAAAJ&hl=en
Semiha Ergan,"Professor of Civil and Urban Engineering, NYU",2312,22,https://scholar.google.com/citations?user=WYwmI0wAAAAJ&hl=en
